query_id,product_id,relevance,category
Q001,8133,3,键盘
Q001,19380,2,键盘
Q002,16353,3,键盘
Q002,18336,2,键盘
Q002,20594,2,键盘
Q003,19380,3,键盘
Q003,8133,2,键盘
Q004,16674,3,台灯
Q004,20565,2,台灯
Q004,3806,2,台灯
Q005,20565,3,台灯
Q005,16674,2,台灯
Q006,9743,3,台灯
Q006,19858,2,台灯
Q006,14825,2,台灯
Q007,20426,3,耳机
Q007,19180,3,耳机
Q007,20007,2,耳机
Q008,19180,3,耳机
Q008,4792,2,耳机
Q009,19180,3,耳机
Q009,20007,3,耳机
Q010,10000242,3,笔记本
Q010,10000032,2,笔记本
Q010,10000153,2,笔记本
Q011,10000179,3,笔记本
Q011,10000113,3,笔记本
Q011,19715,2,笔记本
Q012,19715,3,笔记本
Q012,10000226,2,笔记本
Q012,10000032,2,笔记本
Q013,11174,3,充电宝
Q013,4580,2,充电宝
Q013,4998,2,充电宝
Q014,4580,3,充电宝
Q014,11174,3,充电宝
Q014,7607,2,充电宝
Q015,11174,3,充电宝
Q015,7607,2,充电宝
